y(keV/um)    e-           Hprim            Hsec            He           Li           Be           B            C            Other        Total[yd(y)]
5.9665e-01   2.2187e-05   0.0000e+00   1.7054e-04   6.4770e-05   1.6227e-07   0.0000e+00   0.0000e+00   0.0000e+00   4.7587e-06   2.6242e-04   
6.6945e-01   2.9380e-05   0.0000e+00   1.9056e-04   9.2114e-05   1.9717e-07   0.0000e+00   0.0000e+00   0.0000e+00   4.9429e-06   3.1719e-04   
7.5114e-01   3.8176e-05   0.0000e+00   2.0705e-04   1.3003e-04   4.4081e-07   1.0643e-08   0.0000e+00   0.0000e+00   6.0213e-06   3.8174e-04   
8.4279e-01   5.0098e-05   0.0000e+00   2.2528e-04   1.8254e-04   5.6582e-07   8.7176e-09   0.0000e+00   0.0000e+00   6.4241e-06   4.6491e-04   
9.4563e-01   6.6283e-05   0.0000e+00   2.3798e-04   2.5519e-04   7.4262e-07   9.3055e-09   4.1844e-09   0.0000e+00   7.1472e-06   5.6735e-04   
1.0610e+00   8.5582e-05   0.0000e+00   2.4593e-04   3.4814e-04   1.3683e-06   1.4196e-08   0.0000e+00   0.0000e+00   7.6297e-06   6.8867e-04   
1.1905e+00   1.0926e-04   0.0000e+00   2.5337e-04   4.6452e-04   1.8277e-06   1.5381e-08   0.0000e+00   1.6189e-08   9.7664e-06   8.3877e-04   
1.3357e+00   1.3917e-04   0.0000e+00   2.5861e-04   6.0476e-04   2.6785e-06   6.4258e-08   0.0000e+00   0.0000e+00   1.2007e-05   1.0173e-03   
1.4987e+00   1.7733e-04   0.0000e+00   2.6855e-04   7.6539e-04   4.9136e-06   1.0994e-07   0.0000e+00   0.0000e+00   1.4178e-05   1.2305e-03   
1.6816e+00   2.2447e-04   0.0000e+00   2.7950e-04   9.2854e-04   6.8693e-06   2.6983e-07   0.0000e+00   2.3628e-08   2.0354e-05   1.4600e-03   
1.8868e+00   2.8158e-04   0.0000e+00   2.8836e-04   1.0938e-03   1.1280e-05   4.4720e-07   5.3344e-08   0.0000e+00   2.8196e-05   1.7038e-03   
2.1170e+00   3.5288e-04   0.0000e+00   3.0171e-04   1.2531e-03   1.6599e-05   6.2767e-07   5.6825e-08   0.0000e+00   4.1151e-05   1.9661e-03   
2.3753e+00   4.3628e-04   0.0000e+00   3.1887e-04   1.3835e-03   2.8588e-05   1.2006e-06   2.9077e-07   5.2124e-08   6.0134e-05   2.2289e-03   
2.6651e+00   5.2502e-04   0.0000e+00   3.4022e-04   1.4654e-03   3.9702e-05   2.5833e-06   1.1108e-07   0.0000e+00   8.8532e-05   2.4615e-03   
2.9903e+00   6.3185e-04   0.0000e+00   3.5829e-04   1.5554e-03   5.7934e-05   3.8346e-06   5.1584e-07   4.0435e-08   1.3563e-04   2.7435e-03   
3.3552e+00   7.3660e-04   0.0000e+00   3.7239e-04   1.6231e-03   8.3179e-05   6.6808e-06   1.4962e-06   8.7930e-08   1.9573e-04   3.0192e-03   
3.7646e+00   8.4995e-04   0.0000e+00   3.8910e-04   1.6856e-03   1.1579e-04   1.2723e-05   1.5441e-06   5.0234e-08   2.7067e-04   3.3254e-03   
4.2240e+00   9.8294e-04   0.0000e+00   4.1693e-04   1.7549e-03   1.5450e-04   2.1489e-05   4.4388e-06   1.1710e-07   3.6904e-04   3.7043e-03   
